customer_id,signup_date,region,acquisition_channel,segment,age,annual_income_egp,monthly_spend_egp,orders_last_6m,avg_order_value_egp,satisfaction_score,support_tickets,discount_rate,website_visits_last_30d,is_active,churned
CUST-10000,2023-04-13,Mansoura,Web,Bronze,53,"216,154",2209.15,6,334.4,,7,0.36,9,Yes,Yes
CUST-10001,,Mansoura,Mobile App,Silver,64,"232,796",2558.02,7,409.97,4.6,3,0.1,18,Yes,No
CUST-10002,2023-09-28,Giza,Mobile App,Bronze,38,"137,301",2462.59,9,286.26,3.8,3,0.37,7,Yes,No
CUST-10003,2023-04-17,Giza,Mobile App,Bronze,38,80006.0,1817.51,8,250.25,4.1,2,0.22,12,Yes,No
CUST-10004,2023-03-13,Alexandria,Mobile App,Gold,44,225943.0,3183.25,6,519.34,4.5,1,0.1,7,Yes,No
CUST-10005,2024-12-01,Cairo,Mobile App,Bronze,44,"240,467",2844.36,11,238.9,4.2,0,0.02,10,Yes,No
CUST-10006,2023-01-21,Asyut,Mobile App,Silver,47,"237,525",3124.93,4,775.86,3.3,2,0.25,18,Yes,No
CUST-10007,2024-09-06,Asyut,Web,Silver,44,"193,589",2488.2,7,330.3,2.8,0,0.03,15,Yes,No
CUST-10008,2023-05-02,Cairo,Web,Bronze,34,"117,141",1384.09,3,523.92,3.5,2,0.19,15,Yes,No
CUST-10009,2024-04-11,Cairo,Web,Bronze,48,"338,455",3738.45,9,381.77,4.5,3,0.02,9,Yes,No
CUST-10010,2023-08-03,Asyut,Mobile App,Bronze,23,211186.0,1963.7,6,348.2,3.4,1,0.34,13,No,No
CUST-10011,2023-11-27,Giza,Web,Gold,35,"168,697",2527.66,4,540.16,2.6,1,0.33,9,No,No
CUST-10012,2024-04-03,Alexandria,Branch,Silver,52,168986.0,2771.84,3,993.01,2.0,1,0.15,15,Yes,No
CUST-10013,2023-03-29,GIZA,Mobile App,Bronze,21,"189,724",2521.68,4,734.64,3.5,2,0.09,6,Yes,No
CUST-10014,2024-01-08,Alexandria,Call Center,Silver,28,,3023.88,9,350.58,2.7,1,0.16,16,Yes,Yes
CUST-10015,2023-04-10,Asyut,Branch,Silver,42,,3166.04,8,405.23,3.2,2,0.11,15,No,No
CUST-10016,2024-10-25,Asyut,Call Center,Bronze,39,235803.0,1997.65,7,338.02,4.9,1,0.41,22,No,No
CUST-10017,2023-05-11,Asyut,Call Center,Silver,25,"189,841",3662.92,6,641.6,3.6,0,0.14,19,Yes,No
CUST-10018,2024-10-23,Alexandria,Web,Silver,30,"172,697",1959.79,4,,2.9,3,0.52,15,Yes,No
CUST-10019,2023-11-05,Mansoura,Mobile App,Platinum,22,"221,681",2503.07,4,573.8,3.9,2,0.2,10,Yes,No
CUST-10020,2025-02-08,Alexandria,Web,Bronze,46,"219,214",1851.09,10,200.31,5.0,0,0.18,6,No,No
CUST-10021,2023-12-10,Alexandria,Web,Bronze,32,"168,974",1593.87,4,435.99,3.5,1,0.17,20,Yes,No
CUST-10022,2024-05-06,Cairo,Mobile App,Bronze,55,"131,302",3139.77,5,578.6,1.5,0,0.19,7,Yes,No
CUST-10023,2024-02-18,Mansoura,Mobile App,Silver,36,,5009.71,7,671.4,4.2,3,0.04,19,Yes,No
CUST-10024,2024-01-21,Mansoura,Web,Bronze,33,"185,093",1874.42,4,560.65,3.9,3,0.23,12,Yes,Yes
CUST-10025,2023-07-11,Alexandria,Mobile App,Silver,32,,3293.79,4,692.34,3.7,3,0.12,9,Yes,No
CUST-10026,2023-10-04,Mansoura,Branch,Gold,32,125244.0,1906.68,3,611.32,3.4,2,0.43,17,Yes,Yes
CUST-10027,2023-06-10,Alexandria,Mobile App,Silver,36,"206,681",2190.56,7,258.17,2.9,3,0.08,18,Yes,No
CUST-10028,2024-04-04,Cairo,Mobile App,Silver,63,"215,756",3781.83,6,711.26,5.0,2,0.16,9,Yes,No
CUST-10029,2023-11-10,Cairo,Call Center,Gold,31,"156,598",1233.82,9,114.74,1.9,0,0.22,15,Yes,No
CUST-10030,2023-01-22,Cairo,Branch,Silver,32,"142,304",995.66,5,212.99,3.3,3,0.18,17,Yes,Yes
CUST-10031,2023-09-10,Giza,Mobile App,Silver,36,,2121.52,12,145.43,3.3,2,0.26,10,Yes,Yes
CUST-10032,2025-01-17,Cairo,Call Center,Bronze,47,204847.0,2797.29,8,373.84,4.4,2,0.16,17,No,No
CUST-10033,2024-07-14,Alexandria,Branch,Platinum,19,"127,741",2617.3,6,496.07,4.7,1,0.13,18,No,No
CUST-10034,2024-04-19,Giza,Branch,Bronze,40,"325,674",2524.61,9,269.16,3.4,3,0.44,11,Yes,No
CUST-10035,2023-02-28,Alexandria,Web,Bronze,26,"153,332",2230.72,4,562.62,,2,0.33,15,Yes,Yes
CUST-10036,,Giza,Web,Bronze,41,"35,000",2907.89,11,253.94,3.9,2,0.1,17,Yes,Yes
